paper_id,doi,title,year,journal,authors,abstract_keywords
974,10.1016/j.cattod.2012.10.002,Transformation of aromatic hydrocarbons over isomorphously substituted UTL: Comparison with large and medium pore zeolites,2013,,,"['aromatic hydrocarbon transformation reaction', 'utl shows high selectivity', 'utl [?] bea [?']"
975,10.1016/j.cattod.2013.03.015,Enhanced stability in the methanol-to-olefins process shown by SAPO-34 catalysts synthesized in biphasic medium,2013,,,"['synthesized using two', 'liquid phase system', 'decreases catalyst deactivation']"
976,10.1016/j.cattod.2013.04.031,Effect of silicon content on the catalytic behavior of chabazite type silicoaluminophosphate in the transformation of methanol to short chain olefins,2013,,,"['short chain olefins', 'improved catalytic performance', 'high silicon concentration']"
977,10.1016/j.cattod.2013.05.001,Enhanced catalytic activity of TAPO-5 in the oxidation of cyclohexene with hydrogen peroxide under anhydrous conditions,2013,,,"['conventional oxidant agent h2o2', 'strong inhibitor role', 'par excellence large']"
978,10.1016/j.cattod.2013.08.002,Seed-directed and organotemplate-free synthesis of TON zeolite,2014,,,"['crystallization time significantly influence', 'starting aluminosilicate gel', 'ton zeolite could']"
979,10.1016/j.cattod.2013.08.017,Synthesis of ZSM-5 zeolites using hexamethylene imine as a template: Effect of microwave aging,2014,,,"['gels containing hexamethylene imine', 'gels containing hmi', 'adequate reaction conditions']"
980,10.1016/j.cattod.2013.09.034,Ti(III)APO-5 materials as selective catalysts for the allylic oxidation of cyclohexene: Effect of Ti source and Ti content,2014,,,"['render better synthesis reproducibility', '5 samples exponentially increases', 'reaching ton values higher']"
981,10.1016/j.cattod.2013.10.004,Propylene epoxidation with in situ generated H2O2 in supercritical conditions,2014,,,"['supercritical co2 conditions', 'reusability studies showed', 'functional materials based']"
982,10.1016/j.cattod.2013.10.051,Intercalation chemistry of layered zeolite precursor IPC-1P,2014,,,"['produce new zeolitic architectures', 'different organic agents followed', 'produce new expanded materials']"
983,10.1016/j.cattod.2013.11.063,Modification of textural and acidic properties of -SVR zeolite by desilication,2014,,,"['maximum around 14 nm', '5 – 20 nm', 'desilicated materials depends mainly']"
984,10.1016/j.cattod.2013.11.064,Application of FAU zeolite membranes to alcohol/acrylate mixture systems,2014,,,"['membrane separation assisted transesterification', 'transesterification mixtures formed', 'secondary growth method']"
985,10.1016/j.cattod.2014.01.003,Synthesis and catalytic properties of titanium containing extra-large pore zeolite CIT-5,2014,,,
986,10.1016/j.cattod.2014.02.057,Comparison of mesoporous SSZ-13 and SAPO-34 zeolite catalysts for the methanol-to-olefins reaction,2014,,,"['trimethoxysilylpropyl )- ammonium chloride', 'organosilane octadecyl -( 3', '2 c4 h8 n']"
987,10.1016/j.cattod.2014.05.030,Synthesis of a novel zeolite W and application in the catalyst for FCC gasoline hydro-upgrading,2015,,,"['uv – vis drs', 'preserving research octane number', 'zeolite l could adjust']"
988,10.1016/j.cattod.2014.06.041,Tuning of acidic and catalytic properties of IWR zeolite by post-synthesis incorporation of three-valent elements,2015,,,"['strong brønsted acid sites', 'iwr enabling sufficient activation', '82 – 277 mol']"
989,10.1016/j.cattod.2014.07.002,Epoxidation of bulky organic molecules over pillared titanosilicates,2015,,,"['pillaring treatment significantly increases', 'prepared using surfactant c18h37', 'structure directing agent']"
990,10.1016/j.cattod.2014.07.046,Desilication of SSZ-33 zeolite – Post-synthesis modification of textural and acidic properties,2015,,,"['5 – 20 nm', 'acid sites depends mainly', 'brønsted acid sites']"
991,10.1016/j.cattod.2014.08.019,Alkylation of toluene with ethanol to para-ethyltoluene over MFI zeolites: Comparative study and kinetic modeling,2015,,,"['langmuir – hinshelwood model', 'product distribution exhibited ethyltoluenes', 'longer diffusion length ).']"
992,10.1016/j.cattod.2014.09.026,Mesoporous silico-aluminophosphates derived from microporous precursors as promising catalyst for hydroisomerization,2015,,,"['best catalytic activity owing', 'spectroscopic techniques revealed', 'different silica contents']"
993,10.1016/j.cattod.2015.03.042,Nanoscale HZSM-5 supported PtAg bimetallic catalysts for simultaneous removal of formaldehyde and benzene,2015,,,"['good carbon balances', 'benzene storage capacity', 'benzene catalytic oxidation']"
994,10.1016/j.cattod.2015.06.022,The state of iron sites in the calcined FeAlPO4-5 and its tuning to the property of microporous AlPO4-5 molecular sieve,2016,,,"['single fe sites preparing', 'single fe sites inside', 'microporous environment via calcination']"
995,10.1016/j.cattod.2015.07.010,Zeolite Beta nanoparticles assembled Cu catalysts with superior catalytic performances in the synthesis of thioesters by cross-coupling of aldehydes and disulfides,2016,,,"['high external surface area', 'exhibits excellent catalytic activity', 'high activity']"
996,10.1016/j.cattod.2015.08.041,Effect of Ti incorporated MWW supports on Au loading and catalytic performance for direct propylene epoxidation,2016,,,"['transmission electron mww microscopy', 'porosity mainly isolated tetrahedral', 'electron probe micro analysis']"
997,10.1016/j.cattod.2015.08.061,Selective formation of light olefins from dimethyl ether over MCM-68 modified with phosphate species,2016,,,"['68 showed high resistance', 'stronger acid sites', 'acid sites distribution']"
998,10.1016/j.cattod.2015.09.036,UTL titanosilicate: An extra-large pore epoxidation catalyst with tunable textural properties,2016,,,"['utl showed activity similar', 'crystalline titanosilicate active phase', 'tuned widely keeping']"
999,10.1016/j.cattod.2015.10.010,"Supramolecular chemistry of chiral (1R,2S)-ephedrine confined within the AFI framework as a function of the synthesis conditions",2016,,,"['lower mg contents increase', 'dimers ), crystallisation temperature', 'strong electrostatic interaction']"
1000,10.1016/j.cattod.2015.10.013,"Direct incorporation of B, Al, and Ga into medium-pore ITH zeolite: Synthesis, acidic, and catalytic properties",2016,,,"['3al oh ]− h', 'oh +) e (−)', 'isomorphously substituted ith zeolites']"
1001,10.1016/j.cattod.2015.11.030,Methanol-to-olefin reaction on SAPO-35 catalysts synthesized with controlled crystal size and using mesoporogen additives,2016,,,"['synthesized using different additives', 'synthesis additives allows', 'microporous surface area']"
1002,10.1016/j.cattod.2016.02.027,Vapor phase esterification using a CHA type of zeolite membrane,2016,,,"['selective water removal along', 'proton exchanged mordenite', 'porous alumina tube']"
1003,10.1016/j.cattod.2016.02.035,Quantitative infrared spectroscopic studies and 2D COS analysis of xylenes isomerization over hierarchical zeolites,2017,,,"['highly developed external surface', 'xylenes isomerization process followed', 'silanols groups prompted']"
1004,10.1016/j.cattod.2016.03.012,High-silica zeolite beta as a heterogeneous catalyst in transesterification of triolein for biodiesel production,2016,,,"['sodium cations existing', 'nine consecutive cycles', 'zeolite beta particles']"
1005,10.1016/j.cattod.2017.03.024,Selective synthesis of acetaldehyde from lactic acid on acid zeolites,2018,,,"['lewis acid sites ratio', 'phase lactic acid conversion', 'competitive lactic acid oligomerization']"
1006,10.1016/j.cattod.2017.04.011,Steady-state NH3-SCR global model and kinetic parameter estimation for NOx removal in diesel engine exhaust aftertreatment with Cu/chabazite,2017,,,"['high statistical significance deduced', 'state global kinetic model', 'proposed global nox nh3']"
1007,10.1016/j.cattod.2017.04.042,"Influence of post-synthetic modifications on the composition, acidity and textural properties of ZSM-22 zeolite",2018,,,"['surface silanol hydroxyl groups', 'tbaoh desilication methods resulted', 'framework species upon desilication']"
1008,10.1016/j.cattod.2017.04.065,Ionothermal preparation of triclinic SAPO-34 and its catalytic performance in the MTO process,2017,,,"['v4 +- free sapo', 'triclinic cha structure', 'open systems rather']"
1009,10.1016/j.cattod.2017.07.022,Acidic and catalytic properties of ZSM-5 zeolites with different Al distributions,2018,,,"['27al mas nmr technique', 'mfi structure could improve', 'hydrogen transfer coefficient']"
1010,10.1016/j.cattod.2017.08.032,Catalytic hydrodeoxygenation of m-cresol over Ni2P/hierarchical ZSM-5,2018,,,"['ultraselective (> 97 %)', 'strong lewis acid sites', 'ni2p nanoparticles introduce new']"
1011,10.1016/j.cattod.2017.10.021,The effect of hot liquid water treatment on the properties and catalytic activity of MWW zeolites with various layered structures,2018,,,"['although overall performance diminishes', 'reference zeolite beta showed', '3 times lower conversion']"
1012,10.1016/j.cattod.2018.01.015,Direct synthesis of hierarchical ZnZSM-5 with addition of CTAB in a seeding method and improved catalytic performance in methanol to aromatics reaction,2018,,,"['specific surface area', 'primary crystal size', 'fixed bed reactor']"
1013,10.1016/j.cattod.2018.01.017,Effect of reaction conditions on methanol to gasoline conversion over nanocrystal ZSM-5 zeolite,2018,,,"['solid state mas nmr', 'temperatures <= 350 degc', 'increasing whsv reduced c1']"
1014,10.1016/j.cattod.2018.02.008,On the synthesis of a hierarchically-structured ZSM-5 zeolite and the effect of its physicochemical properties with Cu impregnation on cold-start hydrocarbon trap performance,2018,,,"['hydrothermal stability test revealed', 'hierarchically structured spp particles', 'hierarchically structured zeolite']"
1015,10.1016/j.cattod.2018.02.014,Increasing resolution of selectivity in alkene hydrogenation via diffusion length in core-shell MFI zeolite,2018,,,"['prepared via secondary crystallization', 'faster mass transfer rate', 'shell composite also showed']"
1016,10.1016/j.cattod.2018.02.040,Adjustment of the Al siting in MCM-22 zeolite and its effect on alkylation performance of ethylene with benzene,2018,,,"['exhibit obviously higher conversion', 'structure directing agent', 'irregular lamellar structure']"
1017,10.1016/j.cattod.2018.04.026,Comparison of titanosilicates with different topologies as liquid-phase oxidation catalysts,2020,,,"['oxime selectivity could reach', 'phase selective oxidation reactions', 'tetrahedrally coordinated ti4']"
1018,10.1016/j.cattod.2018.04.028,"Investigation on hydroisomerization and hydrocracking of C15–C18 
               n-alkanes utilizing a hollow tubular Ni-Mo/SAPO-11 catalyst with high selectivity of jet fuel",2019,,,"['hollow tubular structure', 'carbon chain decreasing', 'al molar ratio']"
1019,10.1016/j.cattod.2018.04.035,"Zeolite structure effects on Cu active center, SCR performance and stability of Cu-zeolite catalysts",2019,,,"['identical catalyst synthesis conditions', 'dimeric cu ions form', 'isolated cu ion monomers']"
1020,10.1016/j.cattod.2018.04.068,Propene epoxidation with H2 and O2 on Au/TS-1 catalyst: Cost-effective synthesis of small-sized mesoporous TS-1 and its unique performance,2020,,,"['enhanced mass transfer ability', 'work sheds new light', 'reduced average particle size']"
1021,10.1016/j.cattod.2018.06.010,Hierarchical MTW zeolites in tetrahydropyranylation of alcohols: Comparison of bottom-up and top-down methods,2019,,,"['solid state 27al nmr', 'active sites located deep', 'desilicated mtw presents cheaper']"
1022,10.1016/j.cattod.2018.06.011,"10-ring Zeolites: Synthesis, characterization and catalytic applications",2019,,,"['unique porous structures', 'interesting structural features', 'found widespread applications']"
1023,10.1016/j.cattod.2018.07.003,Catalytic activity of advanced titanosilicate zeolites in hydrogen peroxide S-oxidation of methyl(phenyl)sulfide,2019,,,"['reactants ratio hydrogen peroxide', 'lamellar catalyst provided 100', 'catalysts exhibited different distributions']"
1024,10.1016/j.cattod.2018.07.015,Synthesis of Pt-MWW with controllable nanoparticle size,2019,,,"['different alkyl chain lengths', 'controllable nanoparticle size using', 'swollen materials increases']"
1025,10.1016/j.cattod.2018.07.044,MWW layered zeolites modified with niobium species - Surface and catalytic properties,2019,,,"['liquid phase cyclohexene oxidation', '22 ), different loading', 'methods used gave mcm']"
1026,10.1016/j.cattod.2018.08.018,"Efficient synthesis of the Cu-SAPO-44 zeolite with excellent activity for selective catalytic reduction of NO
                  x
                by NH3",2019,,,"['ray absorption fine structure', 'co adsorption demonstrated', 'selective catalytic reduction']"
1027,10.1016/j.cattod.2018.11.039,"Fabricating ZSM-23 with reduced aspect ratio through ball-milling and recrystallization: Synthesis, structure and catalytic performance in N-heptane hydroisomerization",2019,,,"['heptane hydroisomerization reaction owing', 'catalyst lifetime owing', 'structure directing agent']"
1028,10.1016/j.cattod.2018.12.034,Bifunctional catalysts with noble metals on composite Al2O3-SAPO-11 carrier and their comparison with CoMoS one in n-hexadecane hydroisomerization,2019,,,"['resolution transition electronic microscopies', 'ray powder diffraction', 'comos active phase']"
1029,10.1016/j.cattod.2019.02.054,Designing a hierarchical nanosheet ZSM-35 zeolite to realize more efficient ethanol synthesis from dimethyl ether and syngas,2020,,,"['xrd ), n2 adsorption', 'direct hydrothermal synthesis route', 'catalyst bed reactor packed']"
1030,10.1016/j.cattod.2019.03.006,Structural transformation and chemical modifications of the unusual layered zeolite MWW form SSZ-70,2020,,,"['recent structure solution report', 'horizontal direction (< 110', 'valuable industrial alkylation catalyst']"
1031,10.1016/j.cattod.2019.03.016,Catalytic activation of all-silica COK-14 zeolite through alumination and particle size reduction using wet ball milling,2019,,,"['tetrahedrally coordinated al atoms', 'decane model alkane compound', 'wet ball milling resulted']"
1032,10.1016/j.cattod.2019.03.038,ZSM-5 surface modification by plasma for catalytic activity improvement in the gas phase methanol-to-dimethylether reaction,2019,,,"['catalyst allows significantly increasing', 'strong bronsted acid sites', 'dmethe methanol conversion needs']"
1033,10.1016/j.cattod.2019.04.038,Seed-assisted synthesis of hierarchical SAPO-18/34 intergrowth and SAPO-34 zeolites and their catalytic performance for the methanol-to-olefin reaction,2020,,,"['like nanoparticles containing mesopores', 'higher external surface areas', '34 seed crystals increased']"
1034,10.1016/j.cattod.2019.06.069,Self-formation of hierarchical SAPO-11 molecular sieves as an efficient hydroisomerization support,2020,,,"['hrtem ), n2 sorption', 'mas nmr techniques', 'bifunctional organic templates']"
1035,10.1016/j.cattod.2019.08.006,Stability of fly ash-based BEA-zeolite in hot liquid phase,2020,,,"['crystal structure remained intact', 'liquid phase reactions', 'hot liquid shows']"
1036,10.1016/j.cattod.2019.08.014,Interaction effects between CuO-ZnO-ZrO2 methanol phase and zeolite surface affecting stability of hybrid systems during one-step CO2 hydrogenation to DME,2020,,,"['acid sites significantly control', 'typical industrial conditions', 'research interest towards']"
1037,10.1016/j.cattod.2019.08.030,Aluminium introduction on the STF zeolite synthesized with the organic structure-directing agent 123TE4MI,2020,,,"['state nuclear magnetic resonance', 'al gel ratio variations', 'thin long sticks']"
1038,10.1016/j.cattod.2019.09.045,High activity of Ga-containing nanosponge MTW zeolites in acylation of p-xylene,2020,,,"['medium pore zeolite mfi', 'bulk mtw zeolites due', 'large pore zeolite']"
1039,10.1016/j.cattod.2019.10.003,Zeolites in Pechmann condensation: Impact of the framework topology and type of acid sites,2020,,,"['mtw gives higher conversions', 'transmission electron microscopy', 'respectively ), however']"
1040,10.1016/j.cattod.2019.10.011,Quantification of Lewis acid sites in 3D and 2D TS-1 zeolites: FTIR spectroscopic study,2020,,,"['u8a absorption band ca', '3 species introduced post', 'important selective oxidation catalyst']"
1041,10.1016/j.cattod.2019.10.026,Synthesis of aggregation-resistant MFI nanoparticles,2020,,,"['mimic homogeneous catalytic systems', 'specific functional groups', 'solid state 29si']"
1042,10.1016/j.cattod.2019.12.008,Synthesis of Ga-containing CON-type material and its catalytic performance in methanol-to-olefins reaction,2020,,,"['71ga mas nmr', 'lower ethylene selectivity', 'vis measurements']"
1043,10.1016/j.cattod.2019.12.010,"Conversion of Y into SSZ-13 zeolite, in the absence of extra silica, alumina and seed crystals, with N,N,N-dimethylethylcyclohexylammonium bromide, and application of the SSZ-13 zeolite in the propylene production from ethylene",2019,,,"['synthesis usually relies', 'sars ), especially', 'relatively inexpensive template']"
1044,10.1016/j.cattod.2020.01.004,Effects of nanosheet catalysts on synthesis of aromatics and light hydrocarbons from acetylene,2020,,,"['much slower deactivation unlike', 'bronsted acid sites regardless', 'initial selectivity towards aromatics']"
1045,10.1016/j.cattod.2020.01.034,Remarkable self-degradation of Cu/SAPO-34 selective catalytic reduction catalysts during storage at ambient conditions,2021,,,"['e ., crystallinity loss', 'h )- al [?]', 'terminal al sites']"
1046,10.1016/j.cattod.2020.03.014,Zeolite membranes: Comparison in the separation of H2O/H2/CO2 mixtures and test of a reactor for CO2 hydrogenation to methanol,2021,,,"['reaction environment would increase', 'preliminary experiments comparing', 'membrane reactor show']"
1047,10.1016/j.cattod.2020.03.023,Highly active ternary oxide ZrCeZnOx combined with SAPO-34 zeolite for direct conversion of syngas into light olefins,2021,,,"['bet surface area increased', 'parallel coprecipitation method', 'attracted great attention']"
1048,10.1016/j.cattod.2020.03.056,Modification of MWW Layer Structure to investigate the Effect of Acidity and Zn-type sites on Ethane Dehydroaromatization,2021,,,"['zn species play roles', 'impregnated zn species exist', 'strong acid sites causes']"
1049,10.1016/j.cattod.2020.03.065,New insight into seeding process leading to improved zeolitic acidity and surface properties for its catalytic application in propane aromatization,2021,,,"['resulting zeolites reduced dramatically', '0 wt .% sio2', '0 exhibited better conversion']"
1050,10.1016/j.cattod.2020.04.005,Combustion of toluene over cobalt-modified MFI zeolite dispersed on monolith produced using 3D printing technique,2020,,,"['varying active phase content', 'excellent catalytic activity measured', 'mfi zeolite layer providing']"
1051,10.1016/j.cej.2005.12.001,Chemical kinetics of hydroxylation of phenol catalyzed by TS-1/diatomite in fixed-bed reactor,2006,,,"['hydrogen peroxide also increased', 'reaction kinetic model', 'hydrogen peroxide concentrations']"
1052,10.1016/j.cej.2006.06.009,Xylene isomerization in a membrane reactor: Part I: The synthesis of MFI membranes for the p-xylene separation,2006,,,"['2 ), separation factors', 'n2 permeation measurements together', 'porous ss tubes']"
1053,10.1016/j.cej.2007.07.003,Microwave-assisted hydrothermal synthesis of zeolite Beta coatings on ALD-modified borosilicate glass for application in microstructured reactors,2008,,,"['© 2007 elsevier b', 'uniform zeolite beta coating', 'highly alkaline synthesis solution']"
1054,10.1016/j.cej.2008.11.028,Molecular sieve synthesis in the presence of tetraalkylammonium and dialkylimidazolium molten salts,2009,,,"['products made include', 'layered silicate magadiite', 'molecular sieves synthesis']"
1055,10.1016/j.cej.2008.11.034,Preparation and properties of TS-1 zeolite and film using Sil-1 nanoparticles as seeds,2009,,,"['phenylacetaldehyde selectivity correlates well', 'styrene partial oxidation', '1 seeded syntheses']"
1056,10.1016/j.cej.2009.04.018,Preparation of titanium silicalite-1 catalytic films and application as catalytic membrane reactors,2010,,,"['synthesis solution intensely influenced', '1 catalytic membrane reactors', 'xrd ), ftir']"
1057,10.1016/j.cej.2010.10.057,Fabrication and characterization of hierarchical ZSM-5 zeolites by using organosilanes as additives,2011,,,"['broad particle size distribution', 'two synthesis strategies', 'original reaction solution']"
1058,10.1016/j.cej.2010.11.071,Synthesis of ZSM-5 hierarchical microsphere-like particle by two stage varying temperature crystallization without secondary template,2011,,,"['assembly combined crystallization process', 'second stage crystallization time', 'tsvtc method gave rise']"
1059,10.1016/j.cej.2011.05.001,Ba-SAPO-34 membrane synthesized from microwave heating and its performance for CO2/CH4 gas separation,2011,,,"['pressure differences across', 'alkaline earth cations', 'equimolar feed mixture']"
1060,10.1016/j.cej.2011.08.077,Preparation and performance of TS-1/SiO2 egg-shell catalysts,2011,,,"['new seeding method based', 'lower specific conversion rate', 'sio2 beads ’ surface']"
1061,10.1016/j.cej.2012.01.102,Zeolite applications in fuel cells: Water management and proton conductivity,2012,,,"['improved membrane thermomechanical properties', 'pfsa proton conducting membranes', 'zeolites ’ ionic conductivity']"
1062,10.1016/j.cej.2012.07.134,Location and valence state of strontium cations on the framework of a carbon dioxide selective porous silicoaluminophosphate,2012,,,"['uv – vis spectroscopy', 'site sr1 slightly displaced', 'site sr2 positioned']"
1063,10.1016/j.cej.2012.10.017,Fast catalytic oxidation of phenol over iron modified zeolite L nanocrystals,2013,,,"['xrd results showed', 'better oxidizing agent', 'zeolite l lattice']"
1064,10.1016/j.cej.2012.12.019,A rapid synthesis route for Sn-Beta zeolites by steam-assisted conversion and their catalytic performance in Baeyer–Villiger oxidation,2013,,,"['8wt .% sno2', 'dry stannosilicate gel', 'beta within 5h']"
1065,10.1016/j.cej.2013.04.072,Controlled and rapid growth of MTT zeolite crystals with low-aspect-ratio in a microwave reactor,2013,,,"['obtain larger pore volume', '27al mas nmr', '24h ), seed']"
1066,10.1016/j.cej.2013.04.102,Adsorption dynamics of toluene in structured fixed bed with ZSM-5 membrane/PSSF composites,2013,,,"['structured fixed bed offers', 'structured fixed bed filled', 'bed depth service time']"
1067,10.1016/j.cej.2013.06.005,Cost-effective microwave rapid synthesis of zeolite NaA for removal of methylene blue,2013,,,"['using conventional heating technique', 'microwave rapid synthesized naa', 'four independent variables including']"
1068,10.1016/j.cej.2013.06.103,Synthesis of T-type zeolite nanoparticles for the separation of CO2/N2 and CO2/CH4 by adsorption process,2013,,,"['natural gas purification process', '150 – 200 nm', 'g co2 adsorption capacities']"
1069,10.1016/j.cej.2013.08.093,Ni and RhNi catalysts supported on Zeolites L for hydrogen and syngas production by biogas reforming processes,2014,,,"['incipient wetness impregnation method', 'fixed bed reactor system', 'fischer – tropsch synthesis']"
1070,10.1016/j.cej.2013.08.103,Synthesis of MFI/EMT zeolite bi-layer films for molecular decontamination,2013,,,"['high micropore volumes lead', 'nitrogen sorption measurements indicated', 'hexane sorption capacity']"
1071,10.1016/j.cej.2013.10.041,In situ IR spectroscopic study to reveal the impact of the synthesis conditions of zeolite β nanoparticles on the acidic properties of the resulting zeolite,2014,,,"['also reveals important aspects', 'two nanoparticles based zeolites', 'protonic bridging hydroxyls']"
1072,10.1016/j.cej.2014.01.008,The effect of various templates on the NH3-SCR activities over Cu/SAPO-34 catalysts,2014,,,"['brønsted acid sites showed', '34 catalysts performed different', 'various si coordination structures']"
1073,10.1016/j.cej.2014.08.018,Preparation of novel Fe-ZSM-5 zeolite membrane catalysts for catalytic wet peroxide oxidation of phenol in a membrane reactor,2015,,,"['xrd ), n2 adsorption', '5 zeolite membrane support', 'catalytic wet peroxide oxidation']"
1074,10.1016/j.cej.2014.09.119,"Synthesis, activity and hydrophobicity of Fe-ZSM-5@silicalite-1 for NH3-SCR",2015,,,"['uv – vis drs', 'core – shell zeolites', 'secondary hydrothermal crystallization procedure']"
1075,10.1016/j.cej.2014.10.086,In-situ hydrothermal synthesis of Cu-SSZ-13/cordierite for the catalytic removal of NOx from diesel vehicles by NH3,2015,,,"['simulated diesel exhaust gas', 'situ hydrothermal synthesis method', 'transmission electron microscopy']"
1076,10.1016/j.cej.2014.11.102,Dual-template synthesis of nanostructured CoAPSO-34 used in methanol to olefins: Effect of template combinations on catalytic performance and coke formation,2015,,,"['50 %: 50 %.', 'catalyst preparation costs compared', 'uniform particle size distribution']"
1077,10.1016/j.cej.2014.11.111,Selective catalytic reduction of NOx by NH3 on Cu-SAPO-34 catalysts: Influence of silicium content on the activity of calcined and hydrotreated samples,2015,,,"['three different si contents', 'lowest si content', 'low si content']"
1078,10.1016/j.cej.2014.12.017,The influence of CO2 and H2O on selective catalytic reduction of NO by NH3 over Cu/SAPO-34 catalyst,2015,,,"['inlets presented less impact', 'selective catalytic reduction', 'brønsted acid sites']"
1079,10.1016/j.cej.2015.02.015,Synthesis of CoMo catalysts supported on EMT/FAU intergrowth zeolites with different morphologies and their hydro-upgrading performances for FCC gasoline,2015,,,"['various techniques including xrd', 'n2 adsorption – desorption', 'highest hds efficiency']"
1080,10.1016/j.cej.2015.02.071,Designing core (Cu/ZnO/Al2O3)–shell (SAPO-11) zeolite capsule catalyst with a facile physical way for dimethyl ether direct synthesis from syngas,2015,,,"['demonstrated zeolite capsule catalyst', 'special core – shell', 'zeolite capsule catalyst cuznal']"
1081,10.1016/j.cej.2016.02.072,Green and efficient epoxidation of propylene with hydrogen peroxide (HPPO process) catalyzed by hollow TS-1 zeolite: A 1.0kt/a pilot-scale study,2016,,,"['40 – 50 c', '9 – 32', '5 – 15']"
1082,10.1016/j.cej.2016.02.086,High hydrothermal stability of Cu–SAPO-34 catalysts for the NH3-SCR of NOx,2016,,,"['resulting gel could impact', 'pot hydrothermal synthesis method', 'scr activity slightly due']"
1083,10.1016/j.cej.2016.02.088,Synthesis of nanosized HZSM-5 zeolites isomorphously substituted by gallium and their catalytic performance in the aromatization,2016,,,"['significantly reduces organic templates', 'enhanced lewis acid sites', 'weakened brønsted acid sites']"
1084,10.1016/j.cej.2016.04.009,Space-confined synthesis of zeolite Beta microspheres via steam-assisted crystallization,2016,,,"['greatly enhanced catalytic activity', 'growth route – surface', 'direct synthetic route']"
1085,10.1016/j.cej.2016.06.043,Conversion of Y into SSZ-13 zeolites and ethylene-to-propylene reactions over the obtained SSZ-13 zeolites,2016,,,"['syntheses conducted using mw', '80 %) generally increased', 'crystal growth stages']"
1086,10.1016/j.cej.2016.08.025,"Mono-dispersed DDR zeolite particles by seeded growth and their CO2, N2, and H2O adsorption properties",2016,,,"['dispersed ddr zeolite particles', 'three main components', 'mainly oh groups']"
1087,10.1016/j.cej.2016.09.003,Enhanced formation of 5-HMF from glucose using a highly selective and stable SAPO-34 catalyst,2017,,,"['paper shows great potential', 'reaction system exhibited', 'less harmful alternative']"
1088,10.1016/j.cej.2016.11.054,Manganese-containing hollow TS-1: Description of the catalytic sites and surface properties for solvent-free oxidation of ethylbenzene,2017,,,"['strong favourable synergic interactions', 'longer methylene ch bond', 'mnox species homogeneous dispersed']"
1089,10.1016/j.cej.2016.11.139,Kinetic studies on high-pressure methylation of 2-methylnaphthalene over MTW-type zeolite with different crystal sizes,2017,,,"['apparent reaction rate constants', 'bulk phase pressure', 'reaction rate constants']"
1090,10.1016/j.cej.2016.12.116,Fabrication of ZSM-11(5) particles with nanorods oriented-stacking morphology by an in-situ feeding method,2017,,,"['generate pentasil silicate seed', '27al mas nmr analysis', 'si mixture exhibits']"
1091,10.1016/j.cej.2017.01.090,Effect of alkene co-feed on the MTO reactions over SAPO-34,2017,,,"['low (< 73 %)', 'increased internal diffusion resistance', 'also caused faster deactivation']"
1092,10.1016/j.cej.2017.03.030,Experiments and kinetics of the epoxidation of allyl chloride with H2O2 over organic base treated TS-1 catalysts,2017,,,"['without obvious changes', 'tetrapropyl ammonium hydroxide', 'outer surface shape']"
1093,10.1016/j.cej.2017.04.109,Synthesis of AEI/CHA intergrowth zeolites by dual templates and their catalytic performance for dimethyl ether to olefins,2017,,,"['metastable aei phase converted', 'crystalline products switched', 'stable cha phase']"
1094,10.1016/j.cej.2017.06.109,Ni/Silicalite-1 coating being coated on SiC foam: A tailor-made monolith catalyst for syngas production using a combined methane reforming process,2017,,,"['1 coating successfully grew', 'combined reforming reaction consisting', '1 supported ni catalyst']"
1095,10.1016/j.cej.2017.07.100,Directly synthesized V-containing BEA zeolite: Acid-oxidation bifunctional catalyst enhancing C-alkylation selectivity in liquid-phase methylation of phenol,2017,,,"['situ ftir spectra suggested', 'oxidation bifunctional mechanism involving', '5946 ), good reusability']"
1096,10.1016/j.cej.2017.08.025,The protection of CeO2 thin film on Cu-SAPO-18 catalyst for highly stable catalytic NH3-SCR performance,2017,,,"['higher so2 resistance', 'thin ceo2 film', 'ceo2 thin film']"
1097,10.1016/j.cej.2017.08.082,Green and efficient preparation of hollow titanium silicalite-1 by using recycled mother liquid,2018,,,"['using recycled mother liquid', 'recycled eight times', 'hollow titanium silicalite']"
1098,10.1016/j.cej.2017.10.001,Catalytic cracking of n-hexane for producing light olefins on 3D-printed monoliths of MFI and FAU zeolites,2018,,,"['significantly improved catalytic selectivity', '5 zeolite monolith exhibits', '34 coated hy monolith']"
1099,10.1016/j.cej.2017.10.017,Enhanced toluene combustion performance over Pt loaded hierarchical porous MOR zeolite,2018,,,"['zeolite supported platinum catalyst', 'desorption isotherm analysis showed', 'volatile organic compounds']"
1100,10.1016/j.cej.2017.11.163,Mercury Oxidation over Cu-SSZ-13 Catalysts under Flue Gas Conditions,2018,,,"['catalysts required hydrogen chloride', 'various novel technologies', 'small pore zeolite']"
1101,10.1016/j.cej.2018.05.033,One-pot synthesis of high performance Cu-SAPO-18 catalyst for NO reduction by NH3-SCR: Influence of silicon content on the catalytic properties of Cu-SAPO-18,2018,,,"['ammonia selective catalytic reduction', 'harsh hydrothermal aging treatment', 'different si contents prepared']"
1102,10.1016/j.cej.2018.07.195,The influence of low-temperature hydration methods on the stability of Cu-SAPO-34 SCR catalyst,2018,,,"['much slower drop rate', 'continuous activity drop', 'thus obviously alter']"
